Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
Declan Rice,eng ENG,MF,24-063,26.0,76,2.92,64,5,1,1,2,3,4,0.15,4,0,0,0,0,0,Matches
Jarrod Bowen,eng ENG,"FW,MF",26-088,25.9,85,3.28,43,11,9,11,9,2,8,0.31,3,1,0,2,2,0,Matches
Łukasz Fabiański,pl POL,GK,37-334,22.6,2,0.09,0,2,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Tomáš Souček,cz CZE,MF,28-019,22.2,41,1.85,34,0,0,6,0,1,1,0.05,1,0,0,0,0,0,Matches
Thilo Kehrer,de GER,DF,26-178,18.5,17,0.92,12,2,0,3,0,0,2,0.11,1,0,0,1,0,0,Matches
Aaron Cresswell,eng ENG,DF,33-093,17.5,54,3.08,35,18,0,0,1,0,0,0.0,0,0,0,0,0,0,Matches
Lucas Paquetá,br BRA,MF,25-203,14.6,50,3.42,36,1,2,6,4,1,6,0.41,2,0,0,3,1,0,Matches
Vladimír Coufal,cz CZE,DF,30-208,15.8,37,2.34,28,7,0,1,1,0,2,0.13,1,1,0,0,0,0,Matches
Kurt Zouma,fr FRA,DF,28-142,15.4,6,0.39,5,0,0,1,0,0,2,0.13,1,0,0,1,0,0,Matches
Saïd Benrahma,dz ALG,"FW,MF",27-220,15.9,69,4.34,51,1,9,6,2,0,4,0.25,3,0,1,0,0,0,Matches
Michail Antonio,jm JAM,FW,32-355,12.5,28,2.23,17,0,5,3,3,0,6,0.48,3,0,2,1,0,0,Matches
Pablo Fornals,es ESP,"FW,MF",27-024,11.5,41,3.55,35,1,1,3,0,1,2,0.17,1,0,1,0,0,0,Matches
Gianluca Scamacca,it ITA,FW,24-076,10.3,24,2.33,20,0,1,2,0,1,1,0.1,1,0,0,0,0,0,Matches
Emerson Palmieri,it ITA,DF,28-227,9.0,17,1.9,15,0,1,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Nayef Aguerd,ma MAR,DF,26-353,9.7,6,0.62,6,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Ben Johnson,eng ENG,DF,23-053,8.3,8,0.97,7,0,1,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Craig Dawson,eng ENG,DF,32-316,8.0,12,1.5,10,0,0,1,1,0,1,0.12,0,0,0,0,1,0,Matches
Angelo Ogbonna,it ITA,DF,34-299,7.9,4,0.5,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Flynn Downes,eng ENG,MF,24-057,4.4,6,1.36,3,0,0,2,1,0,0,0.0,0,0,0,0,0,0,Matches
Danny Ings,eng ENG,FW,30-238,3.7,4,1.09,4,0,0,0,0,0,1,0.27,1,0,0,0,0,0,Matches
Alphonse Areola,fr FRA,GK,30-019,3.4,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Manuel Lanzini,ar ARG,"MF,FW",30-031,1.7,2,1.21,1,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Maxwel Cornet,ci CIV,FW,26-172,1.1,1,0.95,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Divin Mubama,eng ENG,FW,18-144,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Conor Coventry,ie IRL,"MF,FW",22-358,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Squad Total,,,28.7,26.0,590,22.69,431,48,30,48,24,9,40,1.54,22,2,4,8,4,0,
Opponent Total,,,27.3,26.0,553,21.27,423,43,27,30,22,8,60,2.31,46,3,3,4,3,1,
