Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
Declan Rice,eng ENG,MF,24-026,21.0,3,0,0,17,5,0,22,35,21,0,0,0,201,23,14,62.2,Matches
Jarrod Bowen,eng ENG,"FW,MF",26-051,20.9,1,0,0,13,40,6,88,16,10,3,0,0,82,16,39,29.1,Matches
Łukasz Fabiański,pl POL,GK,37-297,19.8,0,0,0,0,3,0,0,0,0,0,0,0,10,10,1,90.9,Matches
Tomáš Souček,cz CZE,MF,27-347,17.5,1,0,0,27,11,1,7,29,25,0,0,0,77,53,42,55.8,Matches
Aaron Cresswell,eng ENG,DF,33-056,17.0,2,0,0,8,5,1,101,20,7,0,0,0,80,24,20,54.5,Matches
Thilo Kehrer,de GER,DF,26-141,15.5,4,0,0,20,8,0,16,21,14,0,1,1,70,19,24,44.2,Matches
Kurt Zouma,fr FRA,DF,28-105,14.2,0,0,0,7,4,0,0,13,2,0,0,0,56,37,5,88.1,Matches
Vladimír Coufal,cz CZE,DF,30-171,13.3,3,0,0,14,11,0,69,24,18,0,0,0,76,19,15,55.9,Matches
Lucas Paquetá,br BRA,MF,25-166,11.9,3,0,0,27,17,1,13,10,19,0,0,0,72,21,13,61.8,Matches
Saïd Benrahma,dz ALG,"FW,MF",27-183,12.5,0,0,0,7,9,5,38,6,6,0,0,0,64,3,6,33.3,Matches
Pablo Fornals,es ESP,"FW,MF",26-352,10.7,0,0,0,11,5,1,39,11,8,0,0,0,88,5,13,27.8,Matches
Gianluca Scamacca,it ITA,FW,24-039,10.3,3,0,0,16,10,6,1,4,5,0,0,0,23,17,21,44.7,Matches
Michail Antonio,jm JAM,FW,32-318,10.9,1,0,0,16,22,9,18,3,6,0,0,0,22,24,44,35.3,Matches
Craig Dawson,eng ENG,DF,32-279,8.0,2,0,0,6,3,0,2,6,6,1,1,0,45,14,7,66.7,Matches
Ben Johnson,eng ENG,DF,23-016,6.0,0,0,0,2,2,0,11,6,8,0,0,0,39,9,5,64.3,Matches
Emerson Palmieri,it ITA,"DF,MF",28-190,5.1,1,0,0,7,5,0,13,6,2,0,0,0,23,9,3,75.0,Matches
Nayef Aguerd,ma MAR,DF,26-316,4.8,3,0,0,4,1,1,0,3,8,0,0,0,26,10,5,66.7,Matches
Angelo Ogbonna,it ITA,DF,34-262,4.3,0,0,0,0,0,0,0,7,1,0,0,0,22,8,11,42.1,Matches
Flynn Downes,eng ENG,MF,24-020,3.2,0,0,0,4,4,0,2,2,3,0,0,0,17,4,5,44.4,Matches
Manuel Lanzini,ar ARG,"MF,FW",29-359,1.4,0,0,0,1,0,1,1,0,0,0,0,0,7,0,1,0.0,Matches
Maxwel Cornet,ci CIV,FW,26-135,1.0,0,0,0,2,2,0,2,0,1,0,0,0,5,2,3,40.0,Matches
Alphonse Areola,fr FRA,GK,29-347,1.2,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,,Matches
Danny Ings,eng ENG,FW,30-201,0.3,0,0,0,0,2,0,0,0,1,0,0,0,5,0,2,0.0,Matches
Divin Mubama,eng ENG,FW,18-107,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,Matches
Conor Coventry,ie IRL,"MF,FW",22-321,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
Squad Total,,,28.7,21.0,27,0,0,210,170,32,443,222,171,4,3,1,1111,327,299,52.2,
Opponent Total,,,27.3,21.0,36,0,0,178,203,27,381,163,189,3,6,0,1121,299,327,47.8,
